,botanical_name,common_name,family,plant_type,mature_size,sun_exposure,soil_type,soil_ph,bloom_time,flower_color,hardiness_zones,native_area
1109,Brachyscome iberidifolia,Swan River daisy,Asteraceae,"Perennial, annual","12-18 in. tall, 1-3 ft. wide",Full,Well-drained,Neutral,"Summer, fall","Blue, purple, pink, white, yellow",9-11 (USDA),Australia
1110,Artemisia annua,"Sweet Annie, sweet wormwood",,Annual,"6 ft. tall, 2ft. wide",Full,"Sandy, Well-drained","Neutral, Alkaline",Summer,Yellow,"5-9, USA","Europe, Asia"
1111,Clematis terniflora,Sweet autumn clematis,,Perennial vine,15 to 30 ft. long,Full sun to partial shade,"Moist, well-drained","Acidic, neutral (6 to 7)","Summer, Fall",Creamy white,4 to 9,Japan
1112,Ocimum basilicum,Sweet basil,Mint,Perennial or annual herb,,Full sun (likes some shade in very hot climates),Somewhat rich soil,5.1–8.5 (acidic to alkaline),June to frost,,10–11 (grown as an annual elsewhere),Central Africa to Southeast Asia
1113,Zea mays,Sweet corn,Poaceae,Annual,,Full sun,"Loamy, well-drained","Acidic, neutral (6 to 7)",Summer,,2–11 (USDA),Mexico
1114,"Polygala × dalmaisiana, Polygala myrtifolia var. grandiflora","Sweet pea shrub (bush), milkwort",Polygalaceae,Broadleaf evergreen shrub,3–5 ft. tall and wide,"Full, partial","Rich, well-drained",Acid to neutral (6.0 to 7.5),Mid-summer through to fall; longer in frost-free climates,Purple-pink,9–11 (USDA),South Africa
1115,Ipomoea batatas,Sweet potato,Convolvulaceae,"Herbaceous perennial, usually grown as an annual vegetable",Vines spread to 20 ft.; tubers average 4-6 in.,Full sun to part shade,"Medium-moisture, well-drained soil",Acidic (5 to 6.5),3-4 months after planting,,8-11 (USDA),
1116,Ipomoea batatas,"Sweet potato vine, ornamental sweet potato vine",Convolvulaceae,Herbaceous perennial,"8–10 ft. long, 5–12 in. wide",Full sun,"Moist, well-drained",Neutral to acidic,"Spring, summer",Rarely flower but may produce pink to purple-lavender,9–11 (USDA),Tropical regions of the Americas
1117,Galium odoratum,"Sweet woodruff, woodruff, wild baby's breath, bedstraw, sweet-scented bedstraw",,Perennial herb,6 to 12 inches tall with a spread of 9 to 18 inches,Part shade to full shade,Medium to wet and well-drained,4.8 to 8.3 (tolerates a wide range),April and May,White,"4 to 8, USA","Europe, Northern Africa, Northern Asia"
1118,Magnolia virginiana,"Sweetbay (sweet bay) magnolia, swamp magnolia  ",Magnoliaceae,Tree,"10–35 ft. tall, 10–35 ft. wide","Full, partial","Moist, rich",Acidic (5.5 to 6.5),"Late spring, early summer",White,4–10 (USDA),North America (eastern U.S.)
1119,Beta vulgaris var. cicla ,,,"Biennial, vegetable ","18–24 in. tall, 9–12 in. wide ","Full, partial ","Rich, moist, well-drained",Slightly acidic (6 to 6.4),Summer ,Yellow ,"6–10 as biennial, 3–10 as annual (USDA)",Mediterranean 
1120,Monstera adansonii,"Swiss cheese plant, Swiss cheese vine, five holes plant",Araceae,Perennial,"10–13 ft. tall (outdoors), 3–8 ft. tall (indoors), 1–3 ft. wide",Partial,"Moist, well-drained","Acidic, neutral",Spring (does not bloom indoors),White,10–12 (USDA),"Central America, South America"
1121,Panicum virgatum,"Switchgrass, Tall Panic Grass",Poaceae,Perennial,Up to 6 ft. tall,"Full, partial","Sandy, clay, moist","Acidic, neutral, alkaline",Summer,Pink,"3, 4, 5, 6, 7, 8, 9",North America
1122,Nephrolepis obliterata,,,Perennial,"2–3 ft. tall, 2–4 ft. wide","Partial, shade","Moist, well-drained","Acidic, neutral",,,9–11 (USDA),Australia
1123,Dianthus barbatus,"Sweet William, bearded pink, pinks",Caryophyllaceae,"Herbaceous, Perennial","1-2 ft. tall, 0.5-1 ft. wide","Full sun, part shade","Moist, Well-drained","Acidic, Neutral, Alkaline","Late Spring, Summer","Red, Pink, White, and Bicolor","4a-9b, USDA",Europe
1124,Platanus occidentalis,,Platanaceae,Deciduous tree,75 to 100 feet tall,Full to partial sun,"Well-drained, consistently moist",5.0 to 8.0 (not fussy about soil pH),,,"4 to 9, USDA",Eastern North America
1125,Festuca arundinacea,Tall fescue grass,Poaceae,"Perennial, grass","4-12 in. high, 2-4 in. wide","Full, partial","Loamy, sandy, clay, silt","Acidic, neutral",,,3-8 (USDA),
1126,Larix laricina,Tamarack,,Deciduous Conifer,"40 to 80 ft. tall, 15 to 30 ft. wide",Full sun,"Moist, organic-rich",Acidic,Non-flowering,Non-flowering ,"2-5, USDA",Northern North America
1127, Manihot esculenta," Cassava, Manioc, Yuca, Tapioca",," Woody shrub, perennial"," Up to 14 ft. tall, Up to 10 ft. wide"," Full sun, partial shade"," Sandy, loam, well-drained"," Acid, neutral, alkaline", Throughout the year, Whiteish, 8-12 (USDA), Brazil
1128,"Colocasia, Alocasia, Xanthosoma spp.","Elephant ear, taro, coco yam",Araceae,Tropical perennial,"3–6 feet tall, similar spread; smaller in colder climates",Full sun to part shade,Moist,Acidic (5.5 to 7.0),Late spring to early fall (rarely flowers),Yellowish-white,8–10 (USDA),"Asia, Australia, Central America, South America, Africa"
1129,Brassica rapa subsp. narinosa ,"Tatsoi, Tah Tsai, Spoon mustard, Spinach mustard, Rosette bok choy",,Biennial  ,"8-10 in. tall, 12 in. wide ",Partial sun to full sun,"Rich, well-drained",Neutral (6.5 to 7.0),Seasonal,Yellow ,4-7 (USDA),Asia 
1130,Juniperus virginiana 'Taylor',Taylor's juniper,,Coniferous evergreen,"15-20 ft. tall, 3-4 ft. wide",Full sun ,"Average, dry to moist, well-drained",Acidic soils,Non-flowering,Non-flowering,"4 to 9, USDA",Eastern United States
1131,Osmanthus fragrans,"Tea Olive, Sweet Olive",Oleaceae,Shrub,"6–30 ft. tall, 6–30 ft. wide","Full, partial",Moist but well-drained,Neutral to acidic,Spring,White,,Asia
1132,Dermatophyllum secundiflorum,"Texas mountain laurel, Texas mescalbean, coral bean, hot bean, frigolito",Fabaceae,Evergreen flowering shrub,Up to 20 feet tall,Full sun to part shade,Well drained,"Slightly alkaline, 5.4 to 6.7",March and April,Purple," 7b to 11, USA",
1133,Phlox drummondii,"Annual Phlox, Drummond Phlox, Pride-of-Texas",,Annual,"6–12 in. tall, 6–12 in. wide","Full sun, partial shade",Moist but well-drained,Acidic,"Spring, summer","Red, pink, purple, white",2–11 (USDA),North America
1134,Salvia coccinea,"Texas Sage, Scarlet Sage, Blood Sage",,Herb,"3 feet tall, 3 feet wide","Full sun, part sun, shade","Rich, loamy, clay, sandy",Adaptable,Summer through fall,Red,"USDA 9-10 (Perennial), to zone 4 as an annual","Mexico, southeastern United States"
1135,Hibiscus coccineus,"Swamp Hibiscus, scarlet rosemallow, Texas star hibiscus, water hibiscus",,Herbaceous perennial,"Over 6 ft. tall, 4 ft. wide","Full sun, partial shade",Tolerates a variety,Tolerates a variety,July to September,Bright red,6-9 (USDA),Southeastern United States
1136,Schlumbergera truncata ,"Thanksgiving cactus, crab cactus, false Christmas cactus, holiday cactus, winter cactus",Cactaceae,Cactus,"12-24 in. long, 12-24 in. wide","Partial, shade",Moist but well-drained,Acidic,Fall,"Red, pink, orange, white","10a, 10b, 11a, 11b, 12a, 12b",South America
1137,Clematis 'The President',The President clematis,,"Deciduous, perennial, flowering vine",8-10 ft. tall,Full to partial sun,Well-drained loam,Slightly acidic to neutral,May—primary blooming period—till frost,Violet-blue,4-8,"North America, Central America, Europe, Asia"
1138,"Cordyline fruticosa, Cordyline terminalis","Ti plant, good luck plant, Hawaiian ti plant",Asparagaceae,Shrub,"2-10 ft. tall, 3–4 ft. wide",Partial,"Well-drained, loamy","Acidic, neutral",Spring,"White, pink, yellow, purple",10–12 (USDA),"Asia, Australia, Pacific Islands"
1139,Coreopsis tinctoria,"Calliopsis, Tickseed",,Annual,1 to 3 feet tall and 1 to 2 feet wide,Full to part sun,Sandy and well-drained,5.5 to 6.5,Summer to fall,Yellow or yellow variegated with brown or red,3 to 10,"Western Canada, Northern Mexico, Western and Southern United States"
1140,Gonialoe variegata (formerly Aloe variegata),"Tiger aloe, partridge-breasted aloe, partridge breast aloe",Asphodelaceae,"Succulent, perennial","18—24 in. tall, 8–12 in. wide",Full sun to partial shade,"Well drained, sandy loam; cactus/succulent potting mix",Slightly acidic (5.5—6.5) ,July to September ,"Orange, salmon, pink, yellow (rare)",9–11 (USDA),
1141,Tigridia pavonia,"Tiger flower, Mexican shellflower, peacock flower",Iridaceae,Herbaceous perennial,"12–24 in. tall, 5 in. wide","Full, partial",Well-drained,Slightly acidic to slightly alkaline (6.1 to 7.8),Summer,"Pink, red, yellow, white",8–10 (USDA),Mexico
1142,Lilium lancifolium (also known as L. tigrinum),Tiger lily,Liliaceae,Herbaceous perennial grown from bulbs,"3–5 ft. tall, 7–8 inch spread",Full sun to part shade,"Loamy, moist, well-draining",5.5 to 6.5 (slightly acidic),Summer,"Orange with dark speckles; red, yellow, white, and pink hybrids also available",3–9 (USDA),Eastern Asia
1143,Tricyrtis hirta,"Toad Lily, Hairy Toad Lily",Liliaceae,Perennial,"2-3 ft. tall, 1-2 ft. wide","Partial, Shade","Loamy, Moist but Well-drained","Acidic, Neutral","Summer, Fall","Purple, White","4-8, USA",Asia
1144,Cordyline indivisa ,"Mountain cabbage tree, blue dracaena, toi, dracaena spikes",,Evergreen tree,Up to 10-18 feet tall,Part shade,"Moist, fertile, well-drained",6-6.5,Late spring/summer,"White/green, purple/brown",8-12 (winter hardy: 9-11),New Zealand
1145,Physalis ixocarpa,"Tomatillo, husk tomato",,Perennial vegetable; usually grown as an annual,,Full sun,"Rich, well-drained",Slightly acidic to neutral (6.5–7.0),,,8–10 (USDA); grown as annuals in all zones,Mexico
1146,"Cardamine concatenata (Synonyms: Cardamine laciniata, Dentaria concatenata, Dentaria concatenata var. coalescens, Dentaria laciniata, Dentaria laciniata var. integra) ",,,Herbaceous perennial,"Three to ten inches tall, six inches to one foot wide",Part shade (Dappled sunlight and summertime afternoon shade),"Well-drained organically rich, mesic to moist",Circumneutral (pH 6.8-7.2),April to May,White,"3 - 8, USA",Eastern half of North America west to the Dakotas down to Texas
1147,Impatiens balsamina,,,Annual,"6–30 in. tall, 6–12 in. wide","Full, partial","Loamy, moist, well-drained","Acidic, neutral","Spring, summer, fall","Purple, pink, red, white, bicolors",2–11 (USDA),Asia
1148,Gazania rigens,"Gazania, treasure flower, African daisy",Asteraceae,"Perennial, herbaceous","1 ft. tall, 1 ft. wide",Full,"Sandy, well-drained","Acidic, neutral","Spring, summer","Red, orange, yellow, white, pink",9—11 (USDA),South Africa
1149,Aloe arborescens,"Krantz aloe, Candelabra aloe, torch aloe, tree aloe, mountain bush aloe",,Evergreen shrub,"Six to nine ft height, six to nine ft width",Full sun,"Sandy, loamy",5 to 6.5,Late fall and early winter,Red to orange,"9b-11, USA",Eastern and southern Africa
1150,Lavatera spp.,Lavatera,Malvaceae,"Perennial, annual","2-10 ft. high, 2-6 ft. feet wide",Full,"Loamy, sandy, well-drained","Acid, neutral, alkaline","Summer, fall","Pink, purple, white",6-8 (USDA),"Europe, Mediterranean"
1151,Paeonia suffruticosa,Tree peony,,Deciduous shrub,3 to 5 feet tall and 3 to 4 feet wide,Full sun to part shade,Fertile loam,6.8 to 7.5,Spring,"White, red, pink, purple, yellow",4 to 8,"China, Bhutan"
1152,"Philodendron bipinnatifidum, Thaumatophyllum bipinnatifidum ","Tree philodendron, lacy tree philodendron, Philodendron selloum, horsehead philodendron ",,Broadleaf evergreen,"15 ft. tall outdoors, 10 ft. spread outdoors; 6 ft. tall indoors, 8 ft. spread indoors.",Part shade; avoid direct full sun,"Loamy, moist but well-draining","Neutral, alkaline","Spring, summer",White,9 to 11,South America
1153,Fagus sylvatica 'Roseo-Marginata'/'Purpurea Tricolor',"Tricolor beech, tri-colored European beech, Roseomarginata European beech",Fagaceae,Tree,"24-40 ft. tall, 30 ft. wide",Partial,"Moist, well-drained","Acidic, neutral",Spring,,4-7 (USDA),"Cultivar, no native range"
1154, Acer buergerianum, Trident Maple,, Deciduous Tree, 25-35 ft. Tall 15-25 ft. Wide, Full Sun," Moist, well-drained soil", Neutral to Acidic, Early Spring, Inconspicuous," 5-9, USA", China and Korea
1155,Asclepias curassavica,"Blood flower (bloodflower) tropical milkweed, Mexican butterfly weed",,"Herbaceous perennial, subshrub","3 ft. tall, 1–2 ft. wide ","Full, partial",Well-drained ,Slightly acidic to slightly alkaline (6.1–7.5),Early summer to fall,"Yellow, orange, red",9–11 (USDA); grown as annuals elsewhere,"Caribbean, Central America, South America"
1156,Campsis radicans,"Trumpet vine, trumpet creeper, cow itch vine, hummingbird vine",Bignoniaceae,Woody perennia vine,"25–40 ft. long, 5–10 ft. wide","Full, partial","Average, moist but well-drained",Mildly acidic to mildly alkaline (6.0–8.0),Summer,"Orange, red, yellow",4–9 (USDA),North America (Southeast U.S.)
1157,Liriodendron tulipifera,"Tulip tree, tulip poplar, yellow poplar",Magnoliaceae,Tree,"70–130 ft. tall, 30–60 ft. wide",Full,"Moist, well-drained","Acidic, neutral, alkaline",Spring,"Yellow, green, orange",4–9 (USDA),North America
1158,Tulipa spp.,Tulip,Liliaceae,"Perennial, bulb","9–24 in. tall, 6–9 in. wide",Full,"Rich, well-drained soil","Acidic, neutral",Spring,"Red, Pink, Orange, Yellow, Green, Purple, Black, White",3–8 (USDA),"Europe, Asia"
1159,Nyssa sylvatica,,Nyssaceae,Tree,"30-50 ft. tall, 20-30 ft. wide","Full, partial","Moist, well-drained",Acidic,,,3-9 (USDA),North America
1160,Zoysia spp.,Zoysia grass,Poaceae,Perennial,6-12 in. tall,Full,Well-drained,"Acidic, neutral",,,5-10 (USDA),Korea
1161,Curcuma longa,"Turmeric, common turmeric, turmeric root",,Herbaceous perennial,3 to 4 feet tall and wide,"Full sun in the far North, partial sun elsewhere","Rich, well-drained, and consistently moist ",Slightly acidic to slightly alkaline,July to August,,,India and Malaysia
1162,Brassica rapa,Turnip,,Annual vegetable,12–18 in. tall;  6- to 8-in. spread,Full sun to part shade,"Sandy, well-draining",Slightly acidic (6.0–6.5),,,Annual plant; grown in zones 2 to 9,"Europe, especially Mediterranean regions"
1163,Chelone obliqua,,Plantaginaceae,"Herbaceous, perennial ","2–3 ft. tall, 1–2 ft. wide","Full, partial","Rich, moist","Neutral, acidic","Summer, fall","Pink, purple, white",5–9 (USDA),North America
1164,Carex stricta,,,Rhizomatous evergreen,One to three feet tall and one to two feet wide,Full sun to part shade,Wet clay,Acidic to neutral,Late spring,Reddish brown,"3 - 8, USA",Eastern North America
1165,"Oxypetalum coeruleum, also known as Tweedia coeruleum","Tweedia, blue tweedia, blue milkweed",Apocynaceae,Herbaceous annual (perennial in zones 10–11),"2–3 ft. tall, 2–3 ft. wide (up to 10 ft. long when grown as a perennial)","Full, partial",Moist but well-drained,Acidic to alkaline (5.0–8.0),"Summer, fall",Light blue,10-11 (USDA),South America
1166,Jeffersonia diphylla,,,"Herbaceous perennial, native wildflower","Eight inches to three feet tall, one foot to sixteen inches wide",Part shade,"Moist, humusy, well-drained, limestone",Acidic (<6.8),March or April,White,"5 - 7, USA",Eastern North America
1167,Diascia,Twinspur,,Annual flower,6 to 12 inches tall and 18 inches wide,Full sun to partial sun,"Fertile, well-drained",6.0 to 6.5,Spring and fall,"Pink, white, coral, orange, red, plum",9 to 11,South Africa
1168,Diphylleia grayi,"Skeleton flower, umbrella leaf, Asian umbrella leaf",Berberidaceae,"Perennial, herbaceous","12–18 in. tall, 1–3 ft. wide","Partial, full shade","Sandy, loamy",Acidic to neutral (4.5 to 7.0),Summer,White,4–9 (USDA),"China, Japan"
1169,Juniperus  osteosperma ,Utah Juniper ,,"Tree, Shrub",30 feet tall,Full Sun to Part Shade,"Sandy, Gravelly, Loose Rock",Neutral,No Bloom,No flower but shows blue to purple berry like cones.,5-9,
1170,Vanda spp.,Vanda orchid,Orchidaceae,Herbaceous perennial,1–3 ft. tall,"Part bright sunlight, part shade","Soilless growing medium, such as peat moss or bark",Slightly acidic,"Cyclical, every few months","Pink, red, yellow, orange, blue, purple, white",10-11 (USDA),Asia
1171,Vanilla plantifolia,"Vanilla bean orchid, vanilla",Orchidaceae,"Vine, perennial","75-100 ft. long (outdoors), 8-10 ft. long (indoors)","Partial, shade","Moist, well-drained",Acidic,Spring,Yellow-green,11-12 (USDA),"North America, Caribbean, Central America"
1172,Dionaea muscipula,"Venus fly trap, Venus flytrap",Droseraceae,Perennial,"6-12 in. tall, 6-9 in. wide","Full, partial",,Acidic,"Spring, summer",White,5-8 (USDA),North America
1173,Verbena x hybrida,"Verbena, annual verbena",Verbenaceae,"Annual, perennial","9–12 in. tall, 12–18-in. wide",Full,Well-drained,"Acidic, neutral","Spring, summer, fall","White, red, purple, pink, peach",9–10 (USDA),Europe
1174,Veronica,"Speedwell, Bird’s Eye, Gypsyweed",Plantaginaceae,"Perennial, Annual","Less than 1/2 in. to 4 ft. tall, 8 in. to 2 ft. wide","Full, partial","Loamy, Sandy, Clay, Well-drained","Acidic, Neutral, Alkaline","Spring, Summer, Fall","Pink, Blue, Purple, White",3-9 (USDA),"Europe, Asia"
1175,Viburnum spp.,"Viburnum, American cranberry bush, hobblebush",Adoxaceae,Shrub,"3-20 ft. tall, 3-12 ft. wide","Full, partial","Moist, well-drained","Neutral, acidic",,"White, pink",,North America
